duration,deadline,weight,SkillRequirements,Predecessors
2,116,24,3-4-3-0-2
7,119,80,0-4-2-3-4
7,12,98,0-2-1-3-4
10,70,69,0-1-4-4-4,1
4,17,56,3-4-2-2-1,3
11,70,69,4-0-2-1-0,2
6,81,4,0-0-4-2-2,5
9,109,59,3-0-3-1-3,2-4
3,71,31,3-3-1-1-4,1
11,104,14,0-1-3-3-3,1-7
7,62,29,3-4-3-0-3,5
12,29,60,2-0-2-1-4,6
6,67,89,1-0-4-1-3
1,37,83,3-3-4-3-0
6,8,55,1-0-1-1-2
5,33,30,3-1-2-1-0,8-7
5,67,73,2-1-4-1-1
2,50,93,0-3-4-2-1,11
9,83,55,1-0-1-0-2
5,41,74,0-0-0-2-4
12,37,70,4-1-4-4-2,14-12
3,33,90,3-3-3-1-1,11
7,35,27,2-0-1-1-1,13-12
7,85,86,2-4-2-0-3,21-0
9,79,68,1-0-0-4-4,11
8,37,43,4-4-2-3-2,5-14
8,65,20,4-4-3-1-0,7
2,27,16,2-1-0-0-2
11,102,27,4-2-0-1-4,27-25
11,61,54,1-4-0-0-2,16
11,26,76,3-1-4-4-4
1,34,3,2-0-3-1-4
11,72,11,0-0-0-2-4,18-12
4,80,54,0-1-0-2-2,26-10
8,22,4,0-2-1-3-1,4
